uid,true_label,gemini_label,correct
46fafb6b-1493-4742-98f4-3d61ed1877d8,no-damage,no-damage,True
c02898de-15c3-43fa-a05a-433a85ff78e5,no-damage,no-damage,True
2703ea78-34dc-43af-a05b-0fa3bcd23999,no-damage,destroyed,False
1f786eab-9a9a-4cf3-89d7-ac32b782d253,no-damage,no-damage,True
0d0103d4-bf4e-4143-8fe2-d772205dbab0,no-damage,no-damage,True
7d032f4b-c06a-43c4-9880-34169827349d,no-damage,no-damage,True
1d05c0ba-c702-4e4c-9a4b-95ece60b9157,no-damage,no-damage,True
8a9fd711-ea41-4995-b5d3-19c0fcb00159,no-damage,destroyed,False
0007d2df-182f-406c-8c17-555d6ede7c1a,no-damage,no-damage,True
1e529f18-c067-4be7-8e65-873b9f71f0d1,no-damage,no-damage,True
6e054e10-8587-455a-8c31-54c85090a4c3,no-damage,no-damage,True
1f6a0ff8-0380-4629-92a0-b52c7fc47f25,no-damage,no-damage,True
d1a92935-a635-43e7-a9a1-2018fc4980b2,no-damage,no-damage,True
45570e74-987a-427c-a654-7f8fa7daed73,no-damage,no-damage,True
47d8ad61-45f2-480b-9f01-5a5c4cd16766,no-damage,no-damage,True
6016a725-2ba5-481a-afbd-8434c22ba21e,no-damage,destroyed,False
00a86e18-a7b7-4fc1-9a8d-d7e0953bbb4f,no-damage,no-damage,True
a4dfdfcf-0365-48f9-927a-4884ff7665f3,no-damage,no-damage,True
9f364a53-66d2-4454-9be5-8f42fe03250e,no-damage,no-damage,True
d226ffdd-2151-4f99-a224-ff685fad83dd,no-damage,no-damage,True
8b5eb018-351e-4f52-94a5-5f1cf8c04ea5,no-damage,no-damage,True
10033f60-b2c0-487d-a8c0-e6802c707fff,no-damage,no-damage,True
16764149-717f-4a97-ac81-085fd2965f7b,no-damage,no-damage,True
e3384b0e-9e6d-40f7-9280-14ca22809432,no-damage,no-damage,True
e536096e-0c01-4e33-86ac-ca8bf43d13b5,no-damage,no-damage,True
a849d1ad-92ab-4bca-85f8-dfb6940490c4,no-damage,no-damage,True
b8a1a2c0-88e9-4270-a89d-0e5386723008,no-damage,destroyed,False
2a94a742-65ac-4f87-86bb-5f4a3a84e0a1,no-damage,no-damage,True
c4e9a924-8e05-49b4-839d-048de14b87f8,no-damage,no-damage,True
98d2c9f3-76a3-49cb-a4bd-8cc8a798dca6,no-damage,no-damage,True
9b4f19c6-4cf1-4b0d-bce7-6f8ceb3f2dae,no-damage,no-damage,True
e39f2998-047a-4273-88c7-49bde96bddd4,no-damage,no-damage,True
52cec95b-e116-4829-9ac2-4c0b5875b932,no-damage,no-damage,True
b9ba47cc-bfa7-44ab-af03-7e4f8e8f6446,no-damage,no-damage,True
90ff4e1f-dfec-47d2-abe3-f3ac88df19b7,no-damage,no-damage,True
3f8ac65c-6826-427f-af92-a8b1f9457b73,no-damage,no-damage,True
60f4868c-d9da-44e2-ac79-dc0daa9abe7f,no-damage,no-damage,True
6761717e-46bc-46b9-bde8-7386e7e7c0e9,no-damage,no-damage,True
16ef8874-d7ce-4769-9485-164ac4c755c8,no-damage,no-damage,True
6019acc2-fb32-4b87-8f37-be116073be37,no-damage,no-damage,True
7061e52c-dc6c-4426-bcd6-f5565282431c,no-damage,no-damage,True
2d9704d1-16a4-4875-82c5-456514ad30c6,no-damage,no-damage,True
d9560816-da13-4c06-99a9-a50619347586,no-damage,no-damage,True
b0cc5d07-5ecd-4448-b5dc-504c6d2f4b24,no-damage,no-damage,True
